Names,Prices,Neighbourhoods,Number_of_reviews,Ratings,Type_of_resturant
Picoteo,€€,Kreuzberg,27,4.5,SpanishPortuguese
K,,,7,4,KebabMiddle EasternMitte
Facil,€€€€,Tiergarten,71,4.5,French
the NOname,,,1,5,Modern EuropeanMitte
Tuk-Tuk,€€,Schöneberg,57,4,Indonesian
Ristorante Cinque,€€€,Mitte,17,4,Italian
CHIBEE,€,Wedding,11,4.5,Korean
BRLO Brwhouse,€€,Kreuzberg,66,3.5,Beer GardensBreweries
Das Bonito,€€,Wilmersdorf,58,4,Tapas Bars
Kakadu,€,Wedding,6,4,Breakfast & BrunchCafes
Der Hahn ist tot,€€,Mitte,48,4,FrenchGerman
Le Bon,€€,Kreuzberg,32,4,InternationalGermanCocktail Bars
Restaurant M,€€€,Tiergarten,8,4.5,German
Maximilians,€€,Mitte,149,3.5,GermanBavarian
Udagawa,€€,Charlottenburg,54,4,Japanese
Hackethals,€,Mitte,39,4,German
Lecker Song,€,Prenzlauer,78,4.5,Dim Sum
Taste,€,Tiergarten,9,4.5,Singaporean
Hofbräu Berlin,€€,Mitte,293,3,BavarianBeer Gardens
Humboldt’s,,,5,4,RestaurantsMitte
Sissi,€€,Schöneberg,92,4,Austrian
Anand,€€,Mitte,45,4,Indian
The MyMoon,,,4,4.5,Breakfast & BrunchSteakhousesTakeaway & Fast FoodReinickendorf
Java House,€,Wedding,13,4.5,Pan Asian
Curry Baude,€,Wedding,106,4.5,Curry SausageTakeaway & Fast Food
Maultaschen Manufaktur,,,4,5,SwabianKreuzberg
Restaurant Foreign Affairs,€€€,Mitte,11,4,GermanAustrianInternational
